Dataset,Chart,Columns
AdultIncome.csv,Bubble Chart,fnlwgt vs capital-gain
AdultIncome.csv,Scatter Plot,fnlwgt vs capital-loss
AdultIncome.csv,Bubble Chart,fnlwgt vs capital-loss
AdultIncome.csv,Scatter Plot,fnlwgt vs hours-per-week
AdultIncome.csv,Bubble Chart,fnlwgt vs hours-per-week
AdultIncome.csv,Scatter Plot,education-num vs capital-gain
AdultIncome.csv,Bubble Chart,education-num vs capital-gain
AdultIncome.csv,Scatter Plot,education-num vs capital-loss
AdultIncome.csv,Bubble Chart,education-num vs capital-loss
AdultIncome.csv,Scatter Plot,education-num vs hours-per-week
AdultIncome.csv,Bubble Chart,education-num vs hours-per-week
AdultIncome.csv,Scatter Plot,capital-gain vs capital-loss
AdultIncome.csv,Bubble Chart,capital-gain vs capital-loss
AdultIncome.csv,Scatter Plot,capital-gain vs hours-per-week
AdultIncome.csv,Bubble Chart,capital-gain vs hours-per-week
AdultIncome.csv,Scatter Plot,capital-loss vs hours-per-week
AdultIncome.csv,Bubble Chart,capital-loss vs hours-per-week
AdultIncome.csv,Box Plot,workclass vs age
AdultIncome.csv,Violin Plot,workclass vs age
AdultIncome.csv,Bar Chart,workclass vs age
AdultIncome.csv,Stacked Bar Chart,workclass vs age
AdultIncome.csv,Box Plot,workclass vs fnlwgt
AdultIncome.csv,Violin Plot,workclass vs fnlwgt
AdultIncome.csv,Bar Chart,workclass vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,workclass vs fnlwgt
AdultIncome.csv,Box Plot,workclass vs education-num
AdultIncome.csv,Violin Plot,workclass vs education-num
AdultIncome.csv,Bar Chart,workclass vs education-num
AdultIncome.csv,Stacked Bar Chart,workclass vs education-num
AdultIncome.csv,Box Plot,workclass vs capital-gain
AdultIncome.csv,Violin Plot,workclass vs capital-gain
AdultIncome.csv,Bar Chart,workclass vs capital-gain
AdultIncome.csv,Stacked Bar Chart,workclass vs capital-gain
AdultIncome.csv,Box Plot,workclass vs capital-loss
AdultIncome.csv,Violin Plot,workclass vs capital-loss
AdultIncome.csv,Bar Chart,workclass vs capital-loss
AdultIncome.csv,Stacked Bar Chart,workclass vs capital-loss
AdultIncome.csv,Box Plot,workclass vs hours-per-week
AdultIncome.csv,Violin Plot,workclass vs hours-per-week
AdultIncome.csv,Bar Chart,workclass vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,workclass vs hours-per-week
AdultIncome.csv,Box Plot,education vs age
AdultIncome.csv,Violin Plot,education vs age
AdultIncome.csv,Bar Chart,education vs age
AdultIncome.csv,Stacked Bar Chart,education vs age
AdultIncome.csv,Box Plot,education vs fnlwgt
AdultIncome.csv,Violin Plot,education vs fnlwgt
AdultIncome.csv,Bar Chart,education vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,education vs fnlwgt
AdultIncome.csv,Box Plot,education vs education-num
AdultIncome.csv,Violin Plot,education vs education-num
AdultIncome.csv,Bar Chart,education vs education-num
AdultIncome.csv,Stacked Bar Chart,education vs education-num
AdultIncome.csv,Box Plot,education vs capital-gain
AdultIncome.csv,Violin Plot,education vs capital-gain
AdultIncome.csv,Bar Chart,education vs capital-gain
AdultIncome.csv,Stacked Bar Chart,education vs capital-gain
AdultIncome.csv,Box Plot,education vs capital-loss
AdultIncome.csv,Violin Plot,education vs capital-loss
AdultIncome.csv,Bar Chart,education vs capital-loss
AdultIncome.csv,Stacked Bar Chart,education vs capital-loss
AdultIncome.csv,Box Plot,education vs hours-per-week
AdultIncome.csv,Violin Plot,education vs hours-per-week
AdultIncome.csv,Bar Chart,education vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,education vs hours-per-week
AdultIncome.csv,Box Plot,marital-status vs age
AdultIncome.csv,Violin Plot,marital-status vs age
AdultIncome.csv,Bar Chart,marital-status vs age
AdultIncome.csv,Stacked Bar Chart,marital-status vs age
AdultIncome.csv,Box Plot,marital-status vs fnlwgt
AdultIncome.csv,Violin Plot,marital-status vs fnlwgt
AdultIncome.csv,Bar Chart,marital-status vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,marital-status vs fnlwgt
AdultIncome.csv,Box Plot,marital-status vs education-num
AdultIncome.csv,Violin Plot,marital-status vs education-num
AdultIncome.csv,Bar Chart,marital-status vs education-num
AdultIncome.csv,Stacked Bar Chart,marital-status vs education-num
AdultIncome.csv,Box Plot,marital-status vs capital-gain
AdultIncome.csv,Violin Plot,marital-status vs capital-gain
AdultIncome.csv,Bar Chart,marital-status vs capital-gain
AdultIncome.csv,Stacked Bar Chart,marital-status vs capital-gain
AdultIncome.csv,Box Plot,marital-status vs capital-loss
AdultIncome.csv,Violin Plot,marital-status vs capital-loss
AdultIncome.csv,Bar Chart,marital-status vs capital-loss
AdultIncome.csv,Stacked Bar Chart,marital-status vs capital-loss
AdultIncome.csv,Box Plot,marital-status vs hours-per-week
AdultIncome.csv,Violin Plot,marital-status vs hours-per-week
AdultIncome.csv,Bar Chart,marital-status vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,marital-status vs hours-per-week
AdultIncome.csv,Box Plot,occupation vs age
AdultIncome.csv,Violin Plot,occupation vs age
AdultIncome.csv,Bar Chart,occupation vs age
AdultIncome.csv,Stacked Bar Chart,occupation vs age
AdultIncome.csv,Box Plot,occupation vs fnlwgt
AdultIncome.csv,Violin Plot,occupation vs fnlwgt
AdultIncome.csv,Bar Chart,occupation vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,occupation vs fnlwgt
AdultIncome.csv,Box Plot,occupation vs education-num
AdultIncome.csv,Violin Plot,occupation vs education-num
AdultIncome.csv,Bar Chart,occupation vs education-num
AdultIncome.csv,Stacked Bar Chart,occupation vs education-num
AdultIncome.csv,Box Plot,occupation vs capital-gain
AdultIncome.csv,Violin Plot,occupation vs capital-gain
AdultIncome.csv,Bar Chart,occupation vs capital-gain
AdultIncome.csv,Stacked Bar Chart,occupation vs capital-gain
AdultIncome.csv,Box Plot,occupation vs capital-loss
AdultIncome.csv,Violin Plot,occupation vs capital-loss
AdultIncome.csv,Bar Chart,occupation vs capital-loss
AdultIncome.csv,Stacked Bar Chart,occupation vs capital-loss
AdultIncome.csv,Box Plot,occupation vs hours-per-week
AdultIncome.csv,Violin Plot,occupation vs hours-per-week
AdultIncome.csv,Bar Chart,occupation vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,occupation vs hours-per-week
AdultIncome.csv,Box Plot,relationship vs age
AdultIncome.csv,Violin Plot,relationship vs age
AdultIncome.csv,Bar Chart,relationship vs age
AdultIncome.csv,Stacked Bar Chart,relationship vs age
AdultIncome.csv,Box Plot,relationship vs fnlwgt
AdultIncome.csv,Violin Plot,relationship vs fnlwgt
AdultIncome.csv,Bar Chart,relationship vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,relationship vs fnlwgt
AdultIncome.csv,Box Plot,relationship vs education-num
AdultIncome.csv,Violin Plot,relationship vs education-num
AdultIncome.csv,Bar Chart,relationship vs education-num
AdultIncome.csv,Stacked Bar Chart,relationship vs education-num
AdultIncome.csv,Box Plot,relationship vs capital-gain
AdultIncome.csv,Violin Plot,relationship vs capital-gain
AdultIncome.csv,Bar Chart,relationship vs capital-gain
AdultIncome.csv,Stacked Bar Chart,relationship vs capital-gain
AdultIncome.csv,Box Plot,relationship vs capital-loss
AdultIncome.csv,Violin Plot,relationship vs capital-loss
AdultIncome.csv,Bar Chart,relationship vs capital-loss
AdultIncome.csv,Stacked Bar Chart,relationship vs capital-loss
AdultIncome.csv,Box Plot,relationship vs hours-per-week
AdultIncome.csv,Violin Plot,relationship vs hours-per-week
AdultIncome.csv,Bar Chart,relationship vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,relationship vs hours-per-week
AdultIncome.csv,Box Plot,race vs age
AdultIncome.csv,Violin Plot,race vs age
AdultIncome.csv,Bar Chart,race vs age
AdultIncome.csv,Stacked Bar Chart,race vs age
AdultIncome.csv,Box Plot,race vs fnlwgt
AdultIncome.csv,Violin Plot,race vs fnlwgt
AdultIncome.csv,Bar Chart,race vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,race vs fnlwgt
AdultIncome.csv,Box Plot,race vs education-num
AdultIncome.csv,Violin Plot,race vs education-num
AdultIncome.csv,Bar Chart,race vs education-num
AdultIncome.csv,Stacked Bar Chart,race vs education-num
AdultIncome.csv,Box Plot,race vs capital-gain
AdultIncome.csv,Violin Plot,race vs capital-gain
AdultIncome.csv,Bar Chart,race vs capital-gain
AdultIncome.csv,Stacked Bar Chart,race vs capital-gain
AdultIncome.csv,Box Plot,race vs capital-loss
AdultIncome.csv,Violin Plot,race vs capital-loss
AdultIncome.csv,Bar Chart,race vs capital-loss
AdultIncome.csv,Stacked Bar Chart,race vs capital-loss
AdultIncome.csv,Box Plot,race vs hours-per-week
AdultIncome.csv,Violin Plot,race vs hours-per-week
AdultIncome.csv,Bar Chart,race vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,race vs hours-per-week
AdultIncome.csv,Box Plot,sex vs age
AdultIncome.csv,Violin Plot,sex vs age
AdultIncome.csv,Bar Chart,sex vs age
AdultIncome.csv,Stacked Bar Chart,sex vs age
AdultIncome.csv,Box Plot,sex vs fnlwgt
AdultIncome.csv,Violin Plot,sex vs fnlwgt
AdultIncome.csv,Bar Chart,sex vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,sex vs fnlwgt
AdultIncome.csv,Box Plot,sex vs education-num
AdultIncome.csv,Violin Plot,sex vs education-num
AdultIncome.csv,Bar Chart,sex vs education-num
AdultIncome.csv,Stacked Bar Chart,sex vs education-num
AdultIncome.csv,Box Plot,sex vs capital-gain
AdultIncome.csv,Violin Plot,sex vs capital-gain
AdultIncome.csv,Bar Chart,sex vs capital-gain
AdultIncome.csv,Stacked Bar Chart,sex vs capital-gain
AdultIncome.csv,Box Plot,sex vs capital-loss
AdultIncome.csv,Violin Plot,sex vs capital-loss
AdultIncome.csv,Bar Chart,sex vs capital-loss
AdultIncome.csv,Stacked Bar Chart,sex vs capital-loss
AdultIncome.csv,Box Plot,sex vs hours-per-week
AdultIncome.csv,Violin Plot,sex vs hours-per-week
AdultIncome.csv,Bar Chart,sex vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,sex vs hours-per-week
AdultIncome.csv,Box Plot,country vs age
AdultIncome.csv,Violin Plot,country vs age
AdultIncome.csv,Bar Chart,country vs age
AdultIncome.csv,Stacked Bar Chart,country vs age
AdultIncome.csv,Box Plot,country vs fnlwgt
AdultIncome.csv,Violin Plot,country vs fnlwgt
AdultIncome.csv,Bar Chart,country vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,country vs fnlwgt
AdultIncome.csv,Box Plot,country vs education-num
AdultIncome.csv,Violin Plot,country vs education-num
AdultIncome.csv,Bar Chart,country vs education-num
AdultIncome.csv,Stacked Bar Chart,country vs education-num
AdultIncome.csv,Box Plot,country vs capital-gain
AdultIncome.csv,Violin Plot,country vs capital-gain
AdultIncome.csv,Bar Chart,country vs capital-gain
AdultIncome.csv,Stacked Bar Chart,country vs capital-gain
AdultIncome.csv,Box Plot,country vs capital-loss
AdultIncome.csv,Violin Plot,country vs capital-loss
AdultIncome.csv,Bar Chart,country vs capital-loss
AdultIncome.csv,Stacked Bar Chart,country vs capital-loss
AdultIncome.csv,Box Plot,country vs hours-per-week
AdultIncome.csv,Violin Plot,country vs hours-per-week
AdultIncome.csv,Bar Chart,country vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,country vs hours-per-week
AdultIncome.csv,Box Plot,salary vs age
AdultIncome.csv,Violin Plot,salary vs age
AdultIncome.csv,Bar Chart,salary vs age
AdultIncome.csv,Stacked Bar Chart,salary vs age
AdultIncome.csv,Box Plot,salary vs fnlwgt
AdultIncome.csv,Violin Plot,salary vs fnlwgt
AdultIncome.csv,Bar Chart,salary vs fnlwgt
AdultIncome.csv,Stacked Bar Chart,salary vs fnlwgt
AdultIncome.csv,Box Plot,salary vs education-num
AdultIncome.csv,Violin Plot,salary vs education-num
AdultIncome.csv,Bar Chart,salary vs education-num
AdultIncome.csv,Stacked Bar Chart,salary vs education-num
AdultIncome.csv,Box Plot,salary vs capital-gain
AdultIncome.csv,Violin Plot,salary vs capital-gain
AdultIncome.csv,Bar Chart,salary vs capital-gain
AdultIncome.csv,Stacked Bar Chart,salary vs capital-gain
AdultIncome.csv,Box Plot,salary vs capital-loss
AdultIncome.csv,Violin Plot,salary vs capital-loss
AdultIncome.csv,Bar Chart,salary vs capital-loss
AdultIncome.csv,Stacked Bar Chart,salary vs capital-loss
AdultIncome.csv,Box Plot,salary vs hours-per-week
AdultIncome.csv,Violin Plot,salary vs hours-per-week
AdultIncome.csv,Bar Chart,salary vs hours-per-week
AdultIncome.csv,Stacked Bar Chart,salary vs hours-per-week
AdultIncome.csv,Pair Plot,"age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week"
AdultIncome.csv,Correlation Heatmap,"age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week"
AdultIncome.csv,Treemap,"workclass, education"
AdultIncome.csv,Sunburst Chart,"workclass, education"
AdultIncome.csv,Sankey Diagram,"workclass, education"
AdultIncome.csv,Funnel Chart,workclass vs age
Air Quality Missing Data.csv,Histogram,Ozone
Air Quality Missing Data.csv,Density Plot,Ozone
Air Quality Missing Data.csv,Box Plot,Ozone
Air Quality Missing Data.csv,Violin Plot,Ozone
Air Quality Missing Data.csv,Histogram,Solar
Air Quality Missing Data.csv,Density Plot,Solar
Air Quality Missing Data.csv,Box Plot,Solar
Air Quality Missing Data.csv,Violin Plot,Solar
Air Quality Missing Data.csv,Histogram,Wind
Air Quality Missing Data.csv,Density Plot,Wind
Air Quality Missing Data.csv,Box Plot,Wind
Air Quality Missing Data.csv,Violin Plot,Wind
Air Quality Missing Data.csv,Histogram,Temp
Air Quality Missing Data.csv,Density Plot,Temp
Air Quality Missing Data.csv,Box Plot,Temp
Air Quality Missing Data.csv,Violin Plot,Temp
Air Quality Missing Data.csv,Scatter Plot,Ozone vs Solar
